started_at;ended_at;duration;start_station_id;start_station_name;start_station_description;start_station_latitude;start_station_longitude;end_station_id;end_station_name;end_station_description;end_station_latitude;end_station_longitude
2022-05-01 05:09:07.776000+00:00;2022-05-01 05:17:02.151000+00:00;474;471;Marienlyst;ved bensinstasjon;59.932432498521095;10.721762294477472;416;Tannlegehøyskolen;langs Geitmyrsveien;59.932383;10.741475
2022-05-01 05:09:38.096000+00:00;2022-05-01 05:18:57.069000+00:00;558;474;Blindern studentparkering;rett ved Blindern Studenterhjem;59.940873733543725;10.720778851520523;403;Parkveien;ved trikkestoppet;59.921768;10.730476
2022-05-01 05:09:53.609000+00:00;2022-05-01 05:20:47.675000+00:00;654;408;Tøyen skole;forsiden av skolebygget;59.914943;10.773977;606;Stockfleths gate;ved Griffenfeldts gate;59.9339754;10.7521029
2022-05-01 05:10:51.661000+00:00;2022-05-01 05:29:23.637000+00:00;1111;595;Skarpsnoparken;langs Drammensveien;59.914871;10.701037;970;Enerhaugen;ved Sørligata;59.91320242563816;10.767579386407874
2022-05-01 05:11:58.136000+00:00;2022-05-01 05:21:00.724000+00:00;542;489;Torggata;ved Bernt Ankers gate;59.91598309274519;10.75155119076095;398;Ringnes Park;ved Sannergata;59.92843404417577;10.75943014633117
2022-05-01 05:14:02.290000+00:00;2022-05-01 05:20:13.119000+00:00;370;622;Pilestredet 63;ved trikkestoppet;59.9238826;10.7313627;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516
2022-05-01 05:14:56.121000+00:00;2022-05-01 05:21:45.001000+00:00;408;735;Oslo Hospital;ved trikkestoppet;59.90321254732584;10.7673442932541;443;Sjøsiden ved trappen;Oslo S;59.910154466964954;10.751980909227372
2022-05-01 05:17:22.779000+00:00;2022-05-01 05:22:37.180000+00:00;314;385;Søndre gate;ved Ankerbrua;59.918632;10.757867;609;Fred Olsens gate;ved Karl Johans gate;59.9110506;10.7493737
2022-05-01 05:18:19.075000+00:00;2022-05-01 05:22:48.965000+00:00;269;487;Carl Berners plass nord;ved Hasleveien;59.926929;10.776971;408;Tøyen skole;forsiden av skolebygget;59.914943;10.773977
2022-05-01 05:25:15.651000+00:00;2022-05-01 05:27:42.096000+00:00;146;400;OsloMet;langs Pilestredet;59.919927;10.735428;390;Saga Kino;langs Olav Vs gate;59.91424026794647;10.732771354719745
2022-05-01 05:28:01.955000+00:00;2022-05-01 05:32:09.136000+00:00;247;489;Torggata;ved Bernt Ankers gate;59.91598309274519;10.75155119076095;1023;Professor Aschehougs plass;ved Kristian IVs gate;59.9147672;10.740971
2022-05-01 05:30:18.307000+00:00;2022-05-01 05:44:20.900000+00:00;842;585;Nordre gate;ved Grünerbrua;59.92114988507087;10.754714015938562;464;Sukkerbiten;ved gangbroen;59.905124380703484;10.753763553726515
2022-05-01 05:41:56.646000+00:00;2022-05-01 06:00:05.011000+00:00;1088;536;Diakonhjemmet;Diakonveien nær rundkjøring;59.9363277;10.7054333;403;Parkveien;ved trikkestoppet;59.921768;10.730476
2022-05-01 05:42:40.848000+00:00;2022-05-01 05:52:00.311000+00:00;559;536;Diakonhjemmet;Diakonveien nær rundkjøring;59.9363277;10.7054333;462;Stensparken;ved Sporveisgata;59.92714;10.730981
2022-05-01 05:44:24.898000+00:00;2022-05-01 05:50:34.589000+00:00;369;551;Olaf Ryes plass;langs Sofienberggata;59.922425;10.758182;478;Jernbanetorget;Europarådets plass;59.911901;10.749929
2022-05-01 05:45:16.197000+00:00;2022-05-01 05:48:06.853000+00:00;170;390;Saga Kino;langs Olav Vs gate;59.91424026794647;10.732771354719745;1755;Aker Brygge;ved trikkestopp;59.91118372188379;10.730034556850455
2022-05-01 05:45:33.420000+00:00;2022-05-01 05:57:14.481000+00:00;701;586;Københavngata busstopp;ved Fagerheim tennisklubb;59.9294565845173;10.769121495700826;448;Oslo Plaza;ved rundkjøringen;59.91218291295141;10.7544337247013
2022-05-01 05:49:55.525000+00:00;2022-05-01 05:58:34.243000+00:00;518;485;Sommerfrydhagen;langs Jens Bjelkes gate;59.911453;10.776072;458;Jenny Braatens Plass;langs Rosenhoffgata;59.928349;10.77837
2022-05-01 05:50:10.717000+00:00;2022-05-01 05:53:55.712000+00:00;224;561;Kirkeveien;ved Gørbitz' gate;59.93347989334691;10.726294394131088;486;Blindern Studenthus;langs Blindernveien;59.93522040770026;10.726476622250004
2022-05-01 05:51:32.721000+00:00;2022-05-01 05:58:36.432000+00:00;423;579;Bogstadveien;ved Sporveisgata;59.924732;10.724628;518;Ullevålsveien;ved taxi stoppen;59.9246852;10.7395045
2022-05-01 05:53:18.298000+00:00;2022-05-01 06:01:15.316000+00:00;477;473;Majorstuveien;langs Maries gate;59.926697;10.716195;557;Akersgata;ved Grensen;59.9141971;10.7428828
2022-05-01 05:53:27.276000+00:00;2022-05-01 06:10:48.222000+00:00;1040;742;Hasle;langs Økernveien;59.924342;10.79285;599;Paléhaven;langs Strandgata;59.910331;10.75011
2022-05-01 05:54:18.255000+00:00;2022-05-01 06:04:05.950000+00:00;587;406;Carl Berners plass sør;langs Finnmarkgata;59.92507;10.775996;612;Ensjøveien;ved turvei;59.91662195885618;10.783309055819714
2022-05-01 05:54:47.710000+00:00;2022-05-01 05:58:23.701000+00:00;215;739;Hammersborg Torg;langs Møllergata;59.91652053839767;10.749202233135232;547;Skippergata;ved Karl Johans gate;59.9112227;10.7481976
2022-05-01 05:55:10.169000+00:00;2022-05-01 06:26:18.188000+00:00;1868;486;Blindern Studenthus;langs Blindernveien;59.93522040770026;10.726476622250004;505;Marienlystparken;langs Kirkeveien;59.93215;10.723478
2022-05-01 05:56:24.456000+00:00;2022-05-01 06:08:04.212000+00:00;699;536;Diakonhjemmet;Diakonveien nær rundkjøring;59.9363277;10.7054333;620;Bislettgata;ved Sofies Gate;59.92377440938114;10.734712874574
2022-05-01 05:57:04.110000+00:00;2022-05-01 06:05:07.518000+00:00;483;536;Diakonhjemmet;Diakonveien nær rundkjøring;59.9363277;10.7054333;579;Bogstadveien;ved Sporveisgata;59.924732;10.724628
2022-05-01 05:59:11.704000+00:00;2022-05-01 06:09:59.928000+00:00;648;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516;495;Vaterlandsparken;langs Brugata;59.91351552854147;10.757334670552268
2022-05-01 06:00:36.139000+00:00;2022-05-01 06:03:31.159000+00:00;175;579;Bogstadveien;ved Sporveisgata;59.924732;10.724628;446;Bislett Stadion;ved rundkjøringen;59.925471317049954;10.73121932213806
2022-05-01 06:03:25.424000+00:00;2022-05-01 06:10:17.234000+00:00;411;2332;Krohgstøtten hospital;Hjørnet av Hausmannsgata and Storgata;59.91629601075576;10.757376666842816;737;Munkegata;langs Oslo gate;59.908255;10.7678
2022-05-01 06:04:08.719000+00:00;2022-05-01 06:15:11.567000+00:00;662;514;Sofienberggata;ved Sars gate;59.9212063;10.7699892;2280;Klingenberggata;By Olav V street;59.913150534075015;10.732281291700133
2022-05-01 06:06:35.865000+00:00;2022-05-01 06:12:05.379000+00:00;329;403;Parkveien;ved trikkestoppet;59.921768;10.730476;1755;Aker Brygge;ved trikkestopp;59.91118372188379;10.730034556850455
2022-05-01 06:06:45.443000+00:00;2022-05-01 06:11:22.792000+00:00;277;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516;433;Ila;langs Uelandsgt ved Colletts;59.931828;10.748745
